date,tweet_sentiment,sentiment_weighted,tweets,attention
1/1/2015,0,0,1,0
1/2/2015,0,0,2,3
1/3/2015,0.170833333,0.170833333,1,0
1/4/2015,,,0,0
1/5/2015,0,0,2,4
1/6/2015,0.022222222,0.022222222,6,7
1/7/2015,0.065625,0.065625,4,4
1/8/2015,0.033333333,0.033333333,3,2
1/9/2015,0.127777778,0.127777778,9,1
1/10/2015,0.042708333,0.042708333,4,0
1/11/2015,,,0,0
1/12/2015,0.083333333,0.083333333,3,2
1/13/2015,0.0125,0.0125,8,2
1/14/2015,0.06,0.06,5,0
1/15/2015,0.012685185,-0.000648148,15,49
1/16/2015,0,0,4,0
1/17/2015,,,0,0
1/18/2015,0,0,1,0
1/19/2015,0.048295455,0.048295455,8,0
1/20/2015,0.047222222,0.087222222,10,4
1/21/2015,-0.085714286,-1.457142857,7,36
1/22/2015,0.030952381,0.048809524,14,4
1/23/2015,0.122333333,0.122333333,15,1
1/24/2015,-0.015625,-0.015625,2,0
1/25/2015,0,0,2,0
1/26/2015,0.006277778,0.006277778,12,2
1/27/2015,-0.023684211,-0.034210526,19,4
1/28/2015,-0.006180556,-0.006180556,12,5
1/29/2015,0.152098765,0.513209877,9,8
1/30/2015,-0.036666667,-0.116666667,15,13
1/31/2015,0.020833333,0.020833333,2,0
2/1/2015,0.394444444,0.561111111,3,1
2/2/2015,0.03,0.03,11,3
2/3/2015,0.01,0.01,5,7
2/4/2015,0.077205882,0.077205882,17,8
2/5/2015,0.007905983,0.021367521,13,3
2/6/2015,-0.007,0.003,10,6
2/7/2015,0,0,1,0
2/8/2015,,,0,0
2/9/2015,-0.090625,-0.090625,6,0
2/10/2015,0.025,0.007142857,7,9
2/11/2015,0.036309524,-0.097619048,7,4
2/12/2015,-0.007792208,-0.007792208,7,2
2/13/2015,0,0,5,4
2/14/2015,,,0,0
2/15/2015,0.105555556,0.105555556,3,0
2/16/2015,0.05,0.05,5,0
2/17/2015,0.208571429,0.208571429,7,1
2/18/2015,0.066,0.132,5,2
2/19/2015,0,0,2,2
2/20/2015,0,0,4,1
2/21/2015,0,0,1,0
2/22/2015,,,0,0
2/23/2015,0.03,0.03,11,4
2/24/2015,0.011363636,0.011363636,4,4
2/25/2015,0.005555556,-0.052777778,6,8
2/26/2015,-0.034722222,-0.034722222,4,2
2/27/2015,0.068695652,0.068695652,23,23
2/28/2015,0.258928571,0.339285714,2,1
3/1/2015,0,0,2,0
3/2/2015,0.074808873,0.133632402,17,7
3/3/2015,0.029583333,0.029583333,12,0
3/4/2015,0.013072917,0.004479167,12,4
3/5/2015,0,0,6,7
3/6/2015,0.018518519,0.018518519,9,5
3/7/2015,0,0,1,0
3/8/2015,0.043333333,0.043333333,5,0
3/9/2015,0.058035714,0.058035714,8,3
3/10/2015,0.116666667,0.116666667,6,0
3/11/2015,0.046666667,0.146666667,12,19
3/12/2015,0,0,5,5
3/13/2015,0.085416667,0.085416667,8,6
3/14/2015,,,0,0
3/15/2015,-0.155555556,-0.088888889,3,1
3/16/2015,0,0,9,8
3/17/2015,0.072727273,0.127272727,11,9
3/18/2015,0.118055556,0.159722222,6,4
3/19/2015,0.113560606,0.113560606,11,4
3/20/2015,0.047222222,0.088888889,9,5
3/21/2015,0.125,0.25,2,1
3/22/2015,0.166666667,0.166666667,3,0
3/23/2015,0.28,0.28,5,2
3/24/2015,0.073295455,0.141477273,8,12
3/25/2015,-0.052727273,-0.092727273,5,3
3/26/2015,-0.033333333,-0.033333333,3,1
3/27/2015,-0.033333333,-0.033333333,3,2
3/28/2015,0,0,1,0
3/29/2015,0.25,0.25,1,0
3/30/2015,0.2,0.3,4,1
3/31/2015,0.083333333,0.083333333,6,1
4/1/2015,0.029220779,0.038961039,7,1
4/2/2015,0.090909091,0.090909091,5,7
4/3/2015,0.073863636,0.073863636,4,3
4/4/2015,0.25,0.25,1,0
4/5/2015,,,0,0
4/6/2015,0.110795455,0.110795455,4,5
4/7/2015,0,0,8,18
4/8/2015,0.116,0.166,5,2
4/9/2015,-0.097222222,-0.263888889,6,4
4/10/2015,0.033766234,0.033766234,7,2
4/11/2015,-0.071428571,-0.071428571,1,0
4/12/2015,-0.5,-0.5,1,0
4/13/2015,0.09482684,0.09482684,7,4
4/14/2015,0.03219697,0.03219697,4,11
4/15/2015,0.051674641,0.10430622,19,41
4/16/2015,0.083333333,0.083333333,7,5
4/17/2015,0.025,0.025,4,1
4/18/2015,,,0,0
4/19/2015,0.0625,0.0625,1,0
4/20/2015,0.1,0.175,8,9
4/21/2015,-0.04375,-0.08125,4,4
4/22/2015,0,0,2,3
4/23/2015,0.022727273,0.022727273,6,2
4/24/2015,0,0,1,3
4/25/2015,,,0,0
4/26/2015,0.089285714,0.267857143,3,2
4/27/2015,0.088333333,0.088333333,6,4
4/28/2015,0.016666667,0.033333333,5,7
4/29/2015,0.111111111,0.152777778,6,7
4/30/2015,0.016666667,0.016666667,5,4
5/1/2015,0.159090909,0.159090909,4,6
5/2/2015,,,0,0
5/3/2015,0,0,1,0
5/4/2015,0.057636364,0.084909091,5,2
5/5/2015,0.125,0.125,5,1
5/6/2015,0.0625,0.0625,4,6
5/7/2015,0.005185185,0.090185185,6,3
5/8/2015,0.093272727,0.120545455,5,1
5/9/2015,0.068181818,0.136363636,2,1
5/10/2015,0,0,1,0
5/11/2015,-0.027380952,-0.027380952,7,0
5/12/2015,0.086,0.086,5,15
5/13/2015,0.068181818,0.068181818,2,0
5/14/2015,0.125,0.125,4,9
5/15/2015,0,0,3,0
