,StrategyName,InvestmentManager,TradingDay,WindCode,SecuType,TargetWeight
0,Linear Optimization,IV001,2022/1/4,000425.SZ,STOCK,0.0034531
1,Linear Optimization,IV001,2022/1/4,000568.SZ,STOCK,0.02
2,Linear Optimization,IV001,2022/1/4,000708.SZ,STOCK,0.0067468
3,Linear Optimization,IV001,2022/1/4,000858.SZ,STOCK,0.02
4,Linear Optimization,IV001,2022/1/4,600030.SH,STOCK,0.02
5,Linear Optimization,IV001,2022/1/4,600036.SH,STOCK,0.02
6,Linear Optimization,IV001,2022/1/4,600109.SH,STOCK,0.002616
7,Linear Optimization,IV001,2022/1/4,600276.SH,STOCK,0.02
8,Linear Optimization,IV001,2022/1/4,600309.SH,STOCK,0.008220286
9,Linear Optimization,IV001,2022/1/4,600436.SH,STOCK,6.94E-18
10,Linear Optimization,IV001,2022/1/4,600489.SH,STOCK,0.02
11,Linear Optimization,IV001,2022/1/4,600519.SH,STOCK,0.02
12,Linear Optimization,IV001,2022/1/4,600690.SH,STOCK,0.0146531
13,Linear Optimization,IV001,2022/1/4,600795.SH,STOCK,0.0014019
14,Linear Optimization,IV001,2022/1/4,600809.SH,STOCK,0.02
15,Linear Optimization,IV001,2022/1/4,600848.SH,STOCK,0.0184123
16,Linear Optimization,IV001,2022/1/4,600872.SH,STOCK,0.02
17,Linear Optimization,IV001,2022/1/4,600887.SH,STOCK,1.39E-17
18,Linear Optimization,IV001,2022/1/4,600900.SH,STOCK,0.02
19,Linear Optimization,IV001,2022/1/4,600143.SH,STOCK,0.009005714
20,Linear Optimization,IV001,2022/1/4,002044.SZ,STOCK,0.0132778
21,Linear Optimization,IV001,2022/1/4,601988.SH,STOCK,0.02
22,Linear Optimization,IV001,2022/1/4,601398.SH,STOCK,0.02
23,Linear Optimization,IV001,2022/1/4,601628.SH,STOCK,0.02
24,Linear Optimization,IV001,2022/1/4,601318.SH,STOCK,0.02
25,Linear Optimization,IV001,2022/1/4,601919.SH,STOCK,0.0066539
26,Linear Optimization,IV001,2022/1/4,601939.SH,STOCK,0.02
27,Linear Optimization,IV001,2022/1/4,601088.SH,STOCK,0.00606
28,Linear Optimization,IV001,2022/1/4,601857.SH,STOCK,0.0122109
29,Linear Optimization,IV001,2022/1/4,002202.SZ,STOCK,3.47E-18
30,Linear Optimization,IV001,2022/1/4,601601.SH,STOCK,6.94E-18
31,Linear Optimization,IV001,2022/1/4,601899.SH,STOCK,0.0137441
32,Linear Optimization,IV001,2022/1/4,601668.SH,STOCK,0.0145339
33,Linear Optimization,IV001,2022/1/4,601633.SH,STOCK,0.014138
34,Linear Optimization,IV001,2022/1/4,601888.SH,STOCK,0.0118473
35,Linear Optimization,IV001,2022/1/4,002304.SZ,STOCK,6.94E-18
36,Linear Optimization,IV001,2022/1/4,601618.SH,STOCK,2.08E-17
37,Linear Optimization,IV001,2022/1/4,300014.SZ,STOCK,0.0136856
38,Linear Optimization,IV001,2022/1/4,300015.SZ,STOCK,1.39E-17
39,Linear Optimization,IV001,2022/1/4,601877.SH,STOCK,2.51E-15
40,Linear Optimization,IV001,2022/1/4,002352.SZ,STOCK,0.02
41,Linear Optimization,IV001,2022/1/4,300059.SZ,STOCK,0.02
42,Linear Optimization,IV001,2022/1/4,002415.SZ,STOCK,0.02
43,Linear Optimization,IV001,2022/1/4,002459.SZ,STOCK,0.02
44,Linear Optimization,IV001,2022/1/4,601012.SH,STOCK,0.02
45,Linear Optimization,IV001,2022/1/4,601288.SH,STOCK,0.02
46,Linear Optimization,IV001,2022/1/4,002475.SZ,STOCK,0.02
47,Linear Optimization,IV001,2022/1/4,002568.SZ,STOCK,0.0061995
48,Linear Optimization,IV001,2022/1/4,002594.SZ,STOCK,0.02
49,Linear Optimization,IV001,2022/1/4,002607.SZ,STOCK,0.0028611
50,Linear Optimization,IV001,2022/1/4,002624.SZ,STOCK,0.0099396
51,Linear Optimization,IV001,2022/1/4,601231.SH,STOCK,0.02
52,Linear Optimization,IV001,2022/1/4,300316.SZ,STOCK,3.47E-18
53,Linear Optimization,IV001,2022/1/4,603288.SH,STOCK,0.02
54,Linear Optimization,IV001,2022/1/4,601865.SH,STOCK,0.02
55,Linear Optimization,IV001,2022/1/4,000333.SZ,STOCK,0.02
56,Linear Optimization,IV001,2022/1/4,603899.SH,STOCK,0.0028611
57,Linear Optimization,IV001,2022/1/4,002791.SZ,STOCK,0.0133051
58,Linear Optimization,IV001,2022/1/4,603338.SH,STOCK,0.02
59,Linear Optimization,IV001,2022/1/4,002812.SZ,STOCK,0.02
60,Linear Optimization,IV001,2022/1/4,603019.SH,STOCK,0.0185011
61,Linear Optimization,IV001,2022/1/4,603501.SH,STOCK,0.0023352
62,Linear Optimization,IV001,2022/1/4,300628.SZ,STOCK,0.0093258
63,Linear Optimization,IV001,2022/1/4,601162.SH,STOCK,0.02
64,Linear Optimization,IV001,2022/1/4,300888.SZ,STOCK,0.0030492
65,Linear Optimization,IV001,2022/1/4,300677.SZ,STOCK,0.02
66,Linear Optimization,IV001,2022/1/4,300760.SZ,STOCK,0.02
67,Linear Optimization,IV001,2022/1/4,603259.SH,STOCK,0.02
68,Linear Optimization,IV001,2022/1/4,300750.SZ,STOCK,0.02
69,Linear Optimization,IV001,2022/1/4,601698.SH,STOCK,0.0157014
70,Linear Optimization,IV001,2022/1/4,601138.SH,STOCK,1.69E-31
71,Linear Optimization,IV001,2022/1/4,300866.SZ,STOCK,0.02
72,Linear Optimization,IV001,2022/1/4,601658.SH,STOCK,0.0086962
73,Linear Optimization,IV001,2022/1/4,300999.SZ,STOCK,0.016564
74,Linear Optimization,IV001,2022/1/4,688981.SH,STOCK,0.02
75,Linear Optimization,IV001,2022/1/5,000425.SZ,STOCK,0.0034531
76,Linear Optimization,IV001,2022/1/5,000568.SZ,STOCK,0.02
77,Linear Optimization,IV001,2022/1/5,000708.SZ,STOCK,0.0067468
78,Linear Optimization,IV001,2022/1/5,000858.SZ,STOCK,0.02
79,Linear Optimization,IV001,2022/1/5,000977.SZ,STOCK,1.77E-15
80,Linear Optimization,IV001,2022/1/5,600030.SH,STOCK,0.02
81,Linear Optimization,IV001,2022/1/5,600036.SH,STOCK,0.02
82,Linear Optimization,IV001,2022/1/5,600109.SH,STOCK,0.02
83,Linear Optimization,IV001,2022/1/5,600276.SH,STOCK,0.02
84,Linear Optimization,IV001,2022/1/5,600309.SH,STOCK,0.007109639
85,Linear Optimization,IV001,2022/1/5,600436.SH,STOCK,3.35E-16
86,Linear Optimization,IV001,2022/1/5,600489.SH,STOCK,0.02
