,StrategyName,InvestmentManager,TradingDay,WindCode,SecuType,TargetWeight
0,Linear Optimization,IV001,2022/1/4,000032.SZ,STOCK,0.015
1,Linear Optimization,IV001,2022/1/4,000070.SZ,STOCK,0.00790765
2,Linear Optimization,IV001,2022/1/4,000155.SZ,STOCK,0.0023007
3,Linear Optimization,IV001,2022/1/4,000507.SZ,STOCK,0.00187395
4,Linear Optimization,IV001,2022/1/4,000557.SZ,STOCK,0.015
5,Linear Optimization,IV001,2022/1/4,000652.SZ,STOCK,0.0026467
6,Linear Optimization,IV001,2022/1/4,000667.SZ,STOCK,0.0022334
7,Linear Optimization,IV001,2022/1/4,000797.SZ,STOCK,0.015
8,Linear Optimization,IV001,2022/1/4,000831.SZ,STOCK,0.015
9,Linear Optimization,IV001,2022/1/4,000936.SZ,STOCK,0.015
10,Linear Optimization,IV001,2022/1/4,002025.SZ,STOCK,0.00982275
11,Linear Optimization,IV001,2022/1/4,002228.SZ,STOCK,0.015
12,Linear Optimization,IV001,2022/1/4,002240.SZ,STOCK,0.015
13,Linear Optimization,IV001,2022/1/4,002326.SZ,STOCK,0.015
14,Linear Optimization,IV001,2022/1/4,002479.SZ,STOCK,0.015
15,Linear Optimization,IV001,2022/1/4,002515.SZ,STOCK,0.0138033
16,Linear Optimization,IV001,2022/1/4,002547.SZ,STOCK,0.015
17,Linear Optimization,IV001,2022/1/4,002562.SZ,STOCK,0.00551055
18,Linear Optimization,IV001,2022/1/4,002582.SZ,STOCK,0.015
19,Linear Optimization,IV001,2022/1/4,002596.SZ,STOCK,0.01339665
20,Linear Optimization,IV001,2022/1/4,002616.SZ,STOCK,0.015
21,Linear Optimization,IV001,2022/1/4,002625.SZ,STOCK,0.015
22,Linear Optimization,IV001,2022/1/4,002647.SZ,STOCK,0.00883395
23,Linear Optimization,IV001,2022/1/4,002755.SZ,STOCK,0.015
24,Linear Optimization,IV001,2022/1/4,002756.SZ,STOCK,0.00943695
25,Linear Optimization,IV001,2022/1/4,002793.SZ,STOCK,0.015
26,Linear Optimization,IV001,2022/1/4,002850.SZ,STOCK,0.002777515
27,Linear Optimization,IV001,2022/1/4,002955.SZ,STOCK,0.015
28,Linear Optimization,IV001,2022/1/4,002969.SZ,STOCK,0.0019747
29,Linear Optimization,IV001,2022/1/4,002973.SZ,STOCK,0.015
30,Linear Optimization,IV001,2022/1/4,002980.SZ,STOCK,0.015
31,Linear Optimization,IV001,2022/1/4,002982.SZ,STOCK,0.00291915
32,Linear Optimization,IV001,2022/1/4,002989.SZ,STOCK,0.015
33,Linear Optimization,IV001,2022/1/4,300012.SZ,STOCK,0.01249215
34,Linear Optimization,IV001,2022/1/4,300016.SZ,STOCK,0.015
35,Linear Optimization,IV001,2022/1/4,300066.SZ,STOCK,0.015
36,Linear Optimization,IV001,2022/1/4,300073.SZ,STOCK,0.015
37,Linear Optimization,IV001,2022/1/4,300132.SZ,STOCK,0.0034029
38,Linear Optimization,IV001,2022/1/4,300190.SZ,STOCK,0.00277845
39,Linear Optimization,IV001,2022/1/4,300238.SZ,STOCK,0.00063555
40,Linear Optimization,IV001,2022/1/4,300328.SZ,STOCK,0.015
41,Linear Optimization,IV001,2022/1/4,300349.SZ,STOCK,0.00026985
42,Linear Optimization,IV001,2022/1/4,300373.SZ,STOCK,0.00726855
43,Linear Optimization,IV001,2022/1/4,300390.SZ,STOCK,0.015
44,Linear Optimization,IV001,2022/1/4,300520.SZ,STOCK,0.00989875
45,Linear Optimization,IV001,2022/1/4,300523.SZ,STOCK,0.015
46,Linear Optimization,IV001,2022/1/4,300526.SZ,STOCK,0.0062712
47,Linear Optimization,IV001,2022/1/4,300673.SZ,STOCK,0.015
48,Linear Optimization,IV001,2022/1/4,300682.SZ,STOCK,0.015
49,Linear Optimization,IV001,2022/1/4,300684.SZ,STOCK,0.015
50,Linear Optimization,IV001,2022/1/4,300726.SZ,STOCK,0.015
51,Linear Optimization,IV001,2022/1/4,300769.SZ,STOCK,0.015
52,Linear Optimization,IV001,2022/1/4,300785.SZ,STOCK,0.015
53,Linear Optimization,IV001,2022/1/4,300831.SZ,STOCK,0.015
54,Linear Optimization,IV001,2022/1/4,300850.SZ,STOCK,0.015
55,Linear Optimization,IV001,2022/1/4,300857.SZ,STOCK,0.015
56,Linear Optimization,IV001,2022/1/4,600096.SH,STOCK,0.015
57,Linear Optimization,IV001,2022/1/4,600378.SH,STOCK,0.015
58,Linear Optimization,IV001,2022/1/4,600456.SH,STOCK,0.015
59,Linear Optimization,IV001,2022/1/4,600499.SH,STOCK,0.015
60,Linear Optimization,IV001,2022/1/4,600531.SH,STOCK,0.0016065
61,Linear Optimization,IV001,2022/1/4,600624.SH,STOCK,0.015
62,Linear Optimization,IV001,2022/1/4,600686.SH,STOCK,0.015
63,Linear Optimization,IV001,2022/1/4,600688.SH,STOCK,0.00676365
64,Linear Optimization,IV001,2022/1/4,600738.SH,STOCK,0.0116781
65,Linear Optimization,IV001,2022/1/4,600971.SH,STOCK,0.00971835
66,Linear Optimization,IV001,2022/1/4,601058.SH,STOCK,0.015
67,Linear Optimization,IV001,2022/1/4,601595.SH,STOCK,0.00677835
68,Linear Optimization,IV001,2022/1/4,601963.SH,STOCK,0.0035979
69,Linear Optimization,IV001,2022/1/4,603026.SH,STOCK,0.015
70,Linear Optimization,IV001,2022/1/4,603033.SH,STOCK,0.015
71,Linear Optimization,IV001,2022/1/4,603129.SH,STOCK,0.00894375
72,Linear Optimization,IV001,2022/1/4,603283.SH,STOCK,0.015
73,Linear Optimization,IV001,2022/1/4,603327.SH,STOCK,0.015
74,Linear Optimization,IV001,2022/1/4,603530.SH,STOCK,0.014285135
75,Linear Optimization,IV001,2022/1/4,603590.SH,STOCK,0.015
76,Linear Optimization,IV001,2022/1/4,603815.SH,STOCK,0.0047209
77,Linear Optimization,IV001,2022/1/4,603887.SH,STOCK,0.015
78,Linear Optimization,IV001,2022/1/4,603956.SH,STOCK,0.015
79,Linear Optimization,IV001,2022/1/4,603976.SH,STOCK,0.015
80,Linear Optimization,IV001,2022/1/4,605117.SH,STOCK,0.00845205
81,Linear Optimization,IV001,2022/1/4,688086.SH,STOCK,0.015
82,Linear Optimization,IV001,2022/1/4,688122.SH,STOCK,0.015
83,Linear Optimization,IV001,2022/1/4,688198.SH,STOCK,0.015
