,StrategyName,InvestmentManager,TradingDay,WindCode,SecuType,TargetWeight
0,Stratified Sampling,IV001,2022/1/4,000538.SZ,STOCK,0.047814414
1,Stratified Sampling,IV001,2022/1/4,603392.SH,STOCK,0.015495691
2,Stratified Sampling,IV001,2022/1/4,600763.SH,STOCK,0.013032067
3,Stratified Sampling,IV001,2022/1/4,300595.SZ,STOCK,0.007551761
4,Stratified Sampling,IV001,2022/1/4,600079.SH,STOCK,0.00579203
5,Stratified Sampling,IV001,2022/1/4,300677.SZ,STOCK,0.005057971
6,Stratified Sampling,IV001,2022/1/4,601186.SH,STOCK,0.001629008
7,Stratified Sampling,IV001,2022/1/4,601390.SH,STOCK,0.002674792
8,Stratified Sampling,IV001,2022/1/4,601618.SH,STOCK,0.00123684
9,Stratified Sampling,IV001,2022/1/4,601668.SH,STOCK,0.004756302
10,Stratified Sampling,IV001,2022/1/4,601669.SH,STOCK,0.002805514
11,Stratified Sampling,IV001,2022/1/4,601800.SH,STOCK,0.001367563
12,Stratified Sampling,IV001,2022/1/4,600028.SH,STOCK,0.004726136
13,Stratified Sampling,IV001,2022/1/4,002493.SZ,STOCK,0.002503846
14,Stratified Sampling,IV001,2022/1/4,600346.SH,STOCK,0.002202178
15,Stratified Sampling,IV001,2022/1/4,000301.SZ,STOCK,0.001267007
16,Stratified Sampling,IV001,2022/1/4,601808.SH,STOCK,0.000402224
17,Stratified Sampling,IV001,2022/1/4,000703.SZ,STOCK,0.001055839
18,Stratified Sampling,IV001,2022/1/4,300888.SZ,STOCK,0.000321779
19,Stratified Sampling,IV001,2022/1/4,300896.SZ,STOCK,0.002101622
20,Stratified Sampling,IV001,2022/1/4,688363.SH,STOCK,0.000673726
21,Stratified Sampling,IV001,2022/1/4,003816.SZ,STOCK,0.013384014
22,Stratified Sampling,IV001,2022/1/4,601985.SH,STOCK,0.002634569
23,Stratified Sampling,IV001,2022/1/4,600011.SH,STOCK,0.001930677
24,Stratified Sampling,IV001,2022/1/4,600025.SH,STOCK,0.000532947
25,Stratified Sampling,IV001,2022/1/4,600886.SH,STOCK,0.001548564
26,Stratified Sampling,IV001,2022/1/4,600795.SH,STOCK,0.001277062
27,Stratified Sampling,IV001,2022/1/4,000063.SZ,STOCK,0.004826692
28,Stratified Sampling,IV001,2022/1/4,300628.SZ,STOCK,0.001337396
29,Stratified Sampling,IV001,2022/1/4,600050.SH,STOCK,0.003308295
