,StrategyName,InvestmentManager,TradingDay,WindCode,SecuType,TargetWeight
0,Stratified Sampling,IV001,2022/1/4,000567.SZ,STOCK,0.00047167
1,Stratified Sampling,IV001,2022/1/4,000627.SZ,STOCK,0.000893162
2,Stratified Sampling,IV001,2022/1/4,000712.SZ,STOCK,0.000973446
3,Stratified Sampling,IV001,2022/1/4,002647.SZ,STOCK,0.000592096
4,Stratified Sampling,IV001,2022/1/4,002961.SZ,STOCK,0.000451599
5,Stratified Sampling,IV001,2022/1/4,300773.SZ,STOCK,0.001595649
6,Stratified Sampling,IV001,2022/1/4,600621.SH,STOCK,0.001003553
7,Stratified Sampling,IV001,2022/1/4,600864.SH,STOCK,0.000873091
8,Stratified Sampling,IV001,2022/1/4,601375.SH,STOCK,0.001625755
9,Stratified Sampling,IV001,2022/1/4,603093.SH,STOCK,0.000341208
10,Stratified Sampling,IV001,2022/1/4,003039.SZ,STOCK,0.002589166
11,Stratified Sampling,IV001,2022/1/4,603279.SH,STOCK,0.002719627
12,Stratified Sampling,IV001,2022/1/4,601330.SH,STOCK,0.002629308
13,Stratified Sampling,IV001,2022/1/4,300055.SZ,STOCK,0.002458704
14,Stratified Sampling,IV001,2022/1/4,600217.SH,STOCK,0.001706039
15,Stratified Sampling,IV001,2022/1/4,300815.SZ,STOCK,0.00096341
16,Stratified Sampling,IV001,2022/1/4,300800.SZ,STOCK,0.000893162
17,Stratified Sampling,IV001,2022/1/4,002973.SZ,STOCK,0.001003553
18,Stratified Sampling,IV001,2022/1/4,603686.SH,STOCK,0.001415009
19,Stratified Sampling,IV001,2022/1/4,300190.SZ,STOCK,0.001374867
20,Stratified Sampling,IV001,2022/1/4,600246.SH,STOCK,0.005740321
21,Stratified Sampling,IV001,2022/1/4,600185.SH,STOCK,0.001505329
22,Stratified Sampling,IV001,2022/1/4,000048.SZ,STOCK,0.00190675
23,Stratified Sampling,IV001,2022/1/4,002314.SZ,STOCK,0.000893162
24,Stratified Sampling,IV001,2022/1/4,000517.SZ,STOCK,0.001294583
25,Stratified Sampling,IV001,2022/1/4,600748.SH,STOCK,0.001224334
26,Stratified Sampling,IV001,2022/1/4,000036.SZ,STOCK,0.00096341
27,Stratified Sampling,IV001,2022/1/4,600503.SH,STOCK,0.001806395
28,Stratified Sampling,IV001,2022/1/4,000918.SZ,STOCK,0.000812878
29,Stratified Sampling,IV001,2022/1/4,000797.SZ,STOCK,0.00123437
30,Stratified Sampling,IV001,2022/1/4,601369.SH,STOCK,0.012895651
31,Stratified Sampling,IV001,2022/1/4,603583.SH,STOCK,0.009222648
32,Stratified Sampling,IV001,2022/1/4,688333.SH,STOCK,0.006733838
33,Stratified Sampling,IV001,2022/1/4,002651.SZ,STOCK,0.005690143
34,Stratified Sampling,IV001,2022/1/4,603187.SH,STOCK,0.004947514
35,Stratified Sampling,IV001,2022/1/4,600169.SH,STOCK,0.005178331
36,Stratified Sampling,IV001,2022/1/4,300470.SZ,STOCK,0.005308793
37,Stratified Sampling,IV001,2022/1/4,002979.SZ,STOCK,0.003703109
38,Stratified Sampling,IV001,2022/1/4,603956.SH,STOCK,0.0030508
39,Stratified Sampling,IV001,2022/1/4,603283.SH,STOCK,0.003452221
40,Stratified Sampling,IV001,2022/1/4,300850.SZ,STOCK,0.023974871
41,Stratified Sampling,IV001,2022/1/4,603489.SH,STOCK,0.019017321
42,Stratified Sampling,IV001,2022/1/4,601567.SH,STOCK,0.015715633
43,Stratified Sampling,IV001,2022/1/4,300035.SZ,STOCK,0.011239789
44,Stratified Sampling,IV001,2022/1/4,600877.SH,STOCK,0.009884993
45,Stratified Sampling,IV001,2022/1/4,002851.SZ,STOCK,0.008188989
46,Stratified Sampling,IV001,2022/1/4,603212.SH,STOCK,0.00735604
47,Stratified Sampling,IV001,2022/1/4,002218.SZ,STOCK,0.004184814
48,Stratified Sampling,IV001,2022/1/4,603530.SH,STOCK,0.003883748
49,Stratified Sampling,IV001,2022/1/4,002980.SZ,STOCK,0.003462256
50,Stratified Sampling,IV001,2022/1/4,605296.SH,STOCK,0.002388455
51,Stratified Sampling,IV001,2022/1/4,300087.SZ,STOCK,0.002950445
52,Stratified Sampling,IV001,2022/1/4,002556.SZ,STOCK,0.001545471
53,Stratified Sampling,IV001,2022/1/4,603718.SH,STOCK,0.002458704
54,Stratified Sampling,IV001,2022/1/4,603609.SH,STOCK,0.001123979
55,Stratified Sampling,IV001,2022/1/4,002891.SZ,STOCK,0.002508881
56,Stratified Sampling,IV001,2022/1/4,000019.SZ,STOCK,0.00105373
57,Stratified Sampling,IV001,2022/1/4,000592.SZ,STOCK,0.002007105
58,Stratified Sampling,IV001,2022/1/4,600975.SH,STOCK,0.000863055
59,Stratified Sampling,IV001,2022/1/4,300673.SZ,STOCK,0.000993517
60,Stratified Sampling,IV001,2022/1/4,603713.SH,STOCK,0.002729663
61,Stratified Sampling,IV001,2022/1/4,603128.SH,STOCK,0.002729663
62,Stratified Sampling,IV001,2022/1/4,600662.SH,STOCK,0.00248881
63,Stratified Sampling,IV001,2022/1/4,000582.SZ,STOCK,0.001455151
64,Stratified Sampling,IV001,2022/1/4,000088.SZ,STOCK,0.0015254
65,Stratified Sampling,IV001,2022/1/4,002930.SZ,STOCK,0.001535435
66,Stratified Sampling,IV001,2022/1/4,600575.SH,STOCK,0.001093872
67,Stratified Sampling,IV001,2022/1/4,000885.SZ,STOCK,0.00096341
68,Stratified Sampling,IV001,2022/1/4,000900.SZ,STOCK,0.001254441
69,Stratified Sampling,IV001,2022/1/4,000507.SZ,STOCK,0.001073801
70,Stratified Sampling,IV001,2022/1/4,600338.SH,STOCK,0.013628244
71,Stratified Sampling,IV001,2022/1/4,300748.SZ,STOCK,0.011520784
72,Stratified Sampling,IV001,2022/1/4,002738.SZ,STOCK,0.009844851
73,Stratified Sampling,IV001,2022/1/4,601137.SH,STOCK,0.005409148
74,Stratified Sampling,IV001,2022/1/4,000688.SZ,STOCK,0.003753287
75,Stratified Sampling,IV001,2022/1/4,002237.SZ,STOCK,0.004837123
76,Stratified Sampling,IV001,2022/1/4,300855.SZ,STOCK,0.004074423
77,Stratified Sampling,IV001,2022/1/4,000612.SZ,STOCK,0.00390382
78,Stratified Sampling,IV001,2022/1/4,300127.SZ,STOCK,0.002338278
79,Stratified Sampling,IV001,2022/1/4,300328.SZ,STOCK,0.002207816
80,Stratified Sampling,IV001,2022/1/4,000652.SZ,STOCK,0.000612167
81,Stratified Sampling,IV001,2022/1/4,300208.SZ,STOCK,0.00067238
82,Stratified Sampling,IV001,2022/1/4,600770.SH,STOCK,0.00085302
83,Stratified Sampling,IV001,2022/1/4,600783.SH,STOCK,0.000531883
84,Stratified Sampling,IV001,2022/1/4,000921.SZ,STOCK,0.00287016
85,Stratified Sampling,IV001,2022/1/4,300894.SZ,STOCK,0.000270959
86,Stratified Sampling,IV001,2022/1/4,000016.SZ,STOCK,0.001003553
